,,Anonimized distance,Anonimized cost,Anonimized solution
0,sample0,20007488.055792633,511139070.03332126,"[3, 9, 10, 13, 14, 15, 16, 17, 19, 45]"
1,sample1,20007488.055792633,511139070.03332126,"[3, 9, 10, 13, 14, 15, 16, 17, 19, 45]"
2,sample2,20007488.055792633,511139070.03332126,"[3, 9, 10, 13, 14, 15, 16, 17, 19, 45]"
3,sample3,20007488.055792633,511139070.03332126,"[3, 9, 10, 13, 14, 15, 16, 17, 19, 45]"
4,sample4,20007488.055792633,511139070.03332126,"[3, 9, 10, 13, 14, 15, 16, 17, 19, 45]"
