,,Anonimized distance,Anonimized cost,Anonimized solution
0,sample0,24160746.17011324,626653286.3564694,"[14, 15, 16, 17, 18, 19, 25, 33, 35, 38]"
1,sample1,24414037.545986403,633183972.347637,"[14, 15, 16, 17, 18, 25, 33, 35, 38, 41]"
2,sample2,20430766.176363416,530750761.8548053,"[5, 9, 14, 15, 16, 17, 25, 33, 35, 38]"
3,sample3,24952314.386034444,646991660.0187941,"[14, 15, 16, 17, 25, 33, 35, 38, 39, 41]"
4,sample4,24414037.545986403,633183972.347637,"[14, 15, 16, 17, 18, 25, 33, 35, 38, 41]"
