,,Anonimized distance,Anonimized cost,Anonimized solution
0,sample0,17465427.201204505,454298662.9559897,"[23, 26, 27, 28, 44, 45, 46, 47, 48, 49]"
1,sample1,14749638.075412773,382897854.90205795,"[26, 27, 28, 29, 30, 31, 32, 33, 48, 49]"
2,sample2,17788441.37568244,461687689.43358225,"[23, 24, 25, 26, 27, 28, 46, 47, 48, 49]"
3,sample3,21983380.876923993,573255488.1168796,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 28]"
4,sample4,14862409.776682258,386037582.2577069,"[26, 27, 28, 29, 30, 31, 32, 47, 48, 49]"
