k;[0,0,0];[0,0,1];[0,0,2];[0,0,3];[0,0,4];[0,0,5];[0,1,0];[0,1,1];[0,1,2];[0,1,3];[0,1,4];[0,1,5];[0,2,0];[0,2,1];[0,2,2];[0,2,3];[0,2,4];[0,2,5];[0,3,0];[0,3,1];[0,3,2];[0,3,3];[0,3,4];[0,3,5];[0,4,0];[0,4,1];[0,4,2];[0,4,3];[0,4,4];[0,4,5];[0,5,0];[0,5,1];[0,5,2];[0,5,3];[0,5,4];[0,5,5];[1,0,0];[1,0,1];[1,0,2];[1,0,3];[1,0,4];[1,0,5];[1,1,0];[1,1,1];[1,1,2];[1,1,3];[1,1,4];[1,1,5];[1,2,0];[1,2,1];[1,2,2];[1,2,3];[1,2,4];[1,2,5];[1,3,0];[1,3,1];[1,3,2];[1,3,3];[1,3,4];[1,3,5];[1,4,0];[1,4,1];[1,4,2];[1,4,3];[1,4,4];[1,4,5];[1,5,0];[1,5,1];[1,5,2];[1,5,3];[1,5,4];[1,5,5]
5;*;*;1,03972551096516;1,0543047254106657;1,1426193496130779;1,4470687327930931;*;1,1646883369360368;1,058055069942843;1,0;1,1426193496130779;2,225118915017124;1,6027840899548331;1,0579030628619368;1,0135036887937732;1,0;1,1426193496130779;2,225118915017124;1,308870090178188;1,0237979540368976;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;1,0920981544026376;1,0237979540368976;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;1,0577743499684322;1,0237979540368976;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;*;1,7226148664179348;1,058055069942843;1,0;1,1426193496130779;2,225118915017124;*;1,035925572801227;1,0135036887937732;1,0088405648798735;1,1426193496130779;2,225118915017124;1,3574350641023485;1,0217605226421804;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;1,0738089744246404;1,0237979540368976;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;1,0237979540368976;1,0237979540368976;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;1,0237979540368976;1,0135036887937732;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124
10;*;*;*;*;1,0865944444718008;2,225118915017124;*;*;1,058055069942843;1,0078615511106797;1,1426193496130779;2,225118915017124;*;1,733864018395505;1,058055069942843;1,0;1,1426193496130779;2,225118915017124;*;1,1994190752942413;1,0135036887937732;1,0088405648798735;1,1426193496130779;1,747452448009887;*;1,122155128908248;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;1,42164873007779;1,0217605226421804;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;*;*;1,7226148664179348;1,0543047254106657;1,1426193496130779;2,225118915017124;*;1,733864018395505;1,058055069942843;1,0;1,1426193496130779;2,225118915017124;*;1,3149850291041432;1,0135036887937732;1,0088405648798735;1,1426193496130779;2,225118915017124;*;1,0338881414065102;1,0135036887937732;1,0088405648798735;1,1426193496130779;2,225118915017124;1,3382492405053492;1,0217605226421804;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124;1,153992176149493;1,0237979540368976;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124
20;*;*;*;*;*;2,225118915017124;*;*;2,48947048743592;1,0543047254106657;1,1426193496130779;2,225118915017124;*;*;1,121726070830335;1,0237979540368976;1,1426193496130779;2,225118915017124;*;1,733864018395505;1,058055069942843;1,0;1,1426193496130779;2,225118915017124;*;1,7226148664179348;1,0135036887937732;1,0088405648798735;1,1426193496130779;2,225118915017124;*;1,1792315964168465;1,0078615511106797;1,0088405648798735;1,1426193496130779;2,225118915017124;*;*;*;1,2170192476717991;1,1426193496130779;2,225118915017124;*;*;1,2782068001054627;1,0237979540368976;1,1426193496130779;2,225118915017124;*;*;1,058055069942843;1,0;1,1426193496130779;2,225118915017124;*;1,730468539070966;1,0135036887937732;1,0088405648798735;1,1426193496130779;2,225118915017124;*;1,1539893648928876;1,0135036887937732;1,0088405648798735;1,1426193496130779;2,225118915017124;2,061505093986912;1,0217605226421804;1,0;1,0088405648798735;1,1426193496130779;2,225118915017124
