k;[0,0,0];[0,0,1];[0,0,2];[0,0,3];[0,0,4];[0,0,5];[0,1,0];[0,1,1];[0,1,2];[0,1,3];[0,1,4];[0,1,5];[0,2,0];[0,2,1];[0,2,2];[0,2,3];[0,2,4];[0,2,5];[0,3,0];[0,3,1];[0,3,2];[0,3,3];[0,3,4];[0,3,5];[0,4,0];[0,4,1];[0,4,2];[0,4,3];[0,4,4];[0,4,5];[0,5,0];[0,5,1];[0,5,2];[0,5,3];[0,5,4];[0,5,5];[1,0,0];[1,0,1];[1,0,2];[1,0,3];[1,0,4];[1,0,5];[1,1,0];[1,1,1];[1,1,2];[1,1,3];[1,1,4];[1,1,5];[1,2,0];[1,2,1];[1,2,2];[1,2,3];[1,2,4];[1,2,5];[1,3,0];[1,3,1];[1,3,2];[1,3,3];[1,3,4];[1,3,5];[1,4,0];[1,4,1];[1,4,2];[1,4,3];[1,4,4];[1,4,5];[1,5,0];[1,5,1];[1,5,2];[1,5,3];[1,5,4];[1,5,5]
5;*;*;1,0417419663956309;1,0552061031865478;1,135378489190745;1,43436997150466;*;1,1668423209293604;1,0600998542121678;1,0;1,135378489190745;2,1833916444027466;1,5817177856724611;1,0586549127816214;1,0148547589223422;1,0;1,135378489190745;2,1833916444027466;1,3069107483383968;1,02541863511798;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;1,0916655223997522;1,02541863511798;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;1,0588531760153874;1,02541863511798;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;*;1,696859341410762;1,0600998542121678;1,0;1,135378489190745;2,1833916444027466;*;1,0372940369145385;1,0148547589223422;1,0098062578721023;1,135378489190745;2,1833916444027466;1,3593369799772317;1,0223392361388068;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;1,0732271965667035;1,02541863511798;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;1,02541863511798;1,02541863511798;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;1,02541863511798;1,0148547589223422;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466
10;*;*;*;*;1,0902602937556043;2,1833916444027466;*;*;1,0600998542121678;1,0084691987368222;1,135378489190745;2,1833916444027466;*;1,7071462320075323;1,0600998542121678;1,0;1,135378489190745;2,1833916444027466;*;1,2000217610093589;1,0148547589223422;1,0098062578721023;1,135378489190745;1,718107963263288;*;1,1232888694017005;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;1,419621627466228;1,0223392361388068;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;*;*;1,696859341410762;1,0552061031865478;1,135378489190745;2,1833916444027466;*;1,7071462320075323;1,0600998542121678;1,0;1,135378489190745;2,1833916444027466;*;1,31366612409079;1,0148547589223422;1,0098062578721023;1,135378489190745;2,1833916444027466;*;1,0342146379353636;1,0148547589223422;1,0098062578721023;1,135378489190745;2,1833916444027466;1,3381832492262573;1,0223392361388068;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466;1,15454894246007;1,02541863511798;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466
20;*;*;*;*;*;2,1833916444027466;*;*;2,446487877273701;1,0552061031865478;1,135378489190745;2,1833916444027466;*;*;1,1247031121890638;1,02541863511798;1,135378489190745;2,1833916444027466;*;1,7071462320075323;1,0600998542121678;1,0;1,135378489190745;2,1833916444027466;*;1,696859341410762;1,0148547589223422;1,0098062578721023;1,135378489190745;2,1833916444027466;*;1,1828766469525864;1,0084691987368222;1,0098062578721023;1,135378489190745;2,1833916444027466;*;*;*;1,2166786714843385;1,135378489190745;2,1833916444027466;*;*;1,2806820474210292;1,02541863511798;1,135378489190745;2,1833916444027466;*;*;1,0600998542121678;1,0;1,135378489190745;2,1833916444027466;*;1,7050938337199062;1,0148547589223422;1,0098062578721023;1,135378489190745;2,1833916444027466;*;1,156544604417556;1,0148547589223422;1,0098062578721023;1,135378489190745;2,1833916444027466;2,0245949230769966;1,0223392361388068;1,0;1,0098062578721023;1,135378489190745;2,1833916444027466
