k;[0,1,3];[0,2,3];[0,3,2];[0,3,3];[0,4,2];[0,4,3];[0,5,2];[0,5,3];[1,0,3];[1,1,3];[1,2,2];[1,2,3];[1,3,2];[1,3,3];[1,4,2];[1,4,3];[1,5,2];[1,5,3]
5;1,0;1,0;1,0;1,0088405648798735;1,0;1,0088405648798735;1,0;1,0088405648798735;1,0;1,0088405648798735;1,0;1,0088405648798735;1,0;1,0088405648798735;1,0;1,0088405648798735;1,0;1,0088405648798735
10;1,0078615511106797;1,0;1,0135036887937732;1,0088405648798735;1,0;1,0088405648798735;1,0;1,0088405648798735;1,0543047254106657;1,0;1,0135036887937732;1,0088405648798735;1,0135036887937732;1,0088405648798735;1,0;1,0088405648798735;1,0;1,0088405648798735
20;1,0543047254106657;1,0237979540368976;1,058055069942843;1,0;1,0135036887937732;1,0088405648798735;1,0078615511106797;1,0088405648798735;1,2170192476717991;1,0237979540368976;1,058055069942843;1,0;1,0135036887937732;1,0088405648798735;1,0135036887937732;1,0088405648798735;1,0;1,0088405648798735
