k;[0,0,0];[0,0,1];[0,0,2];[0,0,3];[0,0,4];[0,0,5];[0,1,0];[0,1,1];[0,1,2];[0,1,3];[0,1,4];[0,1,5];[0,2,0];[0,2,1];[0,2,2];[0,2,3];[0,2,4];[0,2,5];[0,3,0];[0,3,1];[0,3,2];[0,3,3];[0,3,4];[0,3,5];[0,4,0];[0,4,1];[0,4,2];[0,4,3];[0,4,4];[0,4,5];[0,5,0];[0,5,1];[0,5,2];[0,5,3];[0,5,4];[0,5,5];[1,0,0];[1,0,1];[1,0,2];[1,0,3];[1,0,4];[1,0,5];[1,1,0];[1,1,1];[1,1,2];[1,1,3];[1,1,4];[1,1,5];[1,2,0];[1,2,1];[1,2,2];[1,2,3];[1,2,4];[1,2,5];[1,3,0];[1,3,1];[1,3,2];[1,3,3];[1,3,4];[1,3,5];[1,4,0];[1,4,1];[1,4,2];[1,4,3];[1,4,4];[1,4,5];[1,5,0];[1,5,1];[1,5,2];[1,5,3];[1,5,4];[1,5,5]
5;33229;33229;32860;21529;54;9;33229;32950;25748;1970;9;9;33213;31974;17566;676;9;9;33152;28838;8889;427;9;9;32770;22365;3238;351;9;4;30656;13378;617;9;9;0;33229;33219;31764;10223;0;0;33229;31999;17722;385;0;0;33154;29032;9008;201;0;0;32824;22617;3039;95;0;0;30975;14075;1185;84;0;0;24305;6031;125;0;0;0
10;;33229;33229;33229;32069;9;33229;33229;32195;8976;9;9;33229;33176;28204;2202;9;9;33229;32729;20215;940;9;9;33229;30956;10476;678;9;9;33130;24493;2867;37;9;9;33229;33229;33193;25958;8;0;33229;33218;28469;1855;0;0;33229;32886;20636;641;0;0;33229;30909;10711;442;0;0;33181;25085;3566;342;0;0;32417;15586;665;0;0;0
20;;33229;33229;33229;33229;9;33229;33229;33188;23961;60;9;33229;33229;32677;9720;60;9;33229;33207;29377;2293;60;9;33229;32904;21752;1047;60;9;33229;31355;10836;149;9;9;33229;33229;33229;32875;997;0;33229;33229;32910;9458;0;0;33229;33229;29413;2164;0;0;33229;32976;21999;977;0;0;33229;31696;11992;765;0;0;33206;26045;2942;35;0;0
