,,Anonimized distance,Anonimized cost,Anonimized solution
0,sample0,11431507.412484482,294372048.42114955,"[4, 16, 22, 23, 28, 30, 31, 33, 46, 49]"
1,sample1,11431507.412484482,294372048.42114955,"[4, 16, 22, 23, 28, 30, 31, 33, 46, 49]"
2,sample2,11431507.412484482,294372048.42114955,"[4, 16, 22, 23, 28, 30, 31, 33, 46, 49]"
3,sample3,11431507.412484482,294372048.42114955,"[4, 16, 22, 23, 28, 30, 31, 33, 46, 49]"
4,sample4,11431507.412484482,294372048.42114955,"[4, 16, 22, 23, 28, 30, 31, 33, 46, 49]"
